fips_cc,white,black,api,native,multiple,hispanic
16035,4.06558449943247e-05,4.460371273870885e-07,4.328881026915979e-06,5.383402171589814e-05,2.372420259332526e-05,5.439186203149466e-06
16037,2.0776276675604433e-05,1.9823872328315044e-07,8.783236866206333e-07,7.462141623985882e-06,6.1086270150478215e-06,3.4093449751625277e-06
16039,0.00010355714984784936,1.9253935998875988e-05,5.658914038084366e-05,9.860687145981343e-05,0.00013410567214430566,8.123306351225398e-05
16041,5.953231582907284e-05,6.938355314910265e-07,1.442960342305326e-06,1.8655354059964703e-05,2.1593286192727182e-05,1.633726580583662e-05
16043,5.709549820386783e-05,2.131066275293867e-06,3.262345121733781e-06,2.958206143794403e-05,2.3013897126459232e-05,3.340369787803748e-05
16045,7.53792296162688e-05,5.203766486182699e-07,6.90111468059069e-06,3.14475968439405e-05,4.7590466280023724e-05,2.63879359638302e-05
16047,5.450162996248537e-05,1.3628912225716592e-06,8.093125398147265e-06,6.342820380388e-05,3.423672350294244e-05,8.588396185987454e-05
16049,7.644312088714833e-05,1.0407532972365398e-06,4.768042870226295e-06,0.0001332525289997479,3.835649521076539e-05,8.23760809027709e-06
16051,0.00011660248328839592,1.5859097862652035e-06,9.410610928078213e-06,8.474860844383966e-05,5.3414971108325136e-05,5.2125534446849054e-05
16053,7.599223363425177e-05,2.775342125964106e-06,7.340276523901007e-06,0.0001393821453337363,3.5657334436674495e-05,0.00013751681639701804
16055,0.0006477831302429068,1.1051808823035637e-05,7.158338045958161e-05,0.0004983644584590571,0.0004281721354268403,0.000104861991981733
16057,0.0001710939809530634,7.557851325170111e-06,5.257394638486362e-05,7.408840612385983e-05,0.00012572406763528655,2.6407643160218422e-05
16059,3.825449041148234e-05,4.708169677974823e-07,2.070334404177207e-06,1.6789818653968235e-05,1.8325881045143463e-05,3.7443673137623136e-06
16061,1.722997243933935e-05,3.2213792533511947e-07,1.3802229361181381e-06,5.116897113590319e-05,1.2359315123468848e-05,2.522521137692506e-06
16063,1.8314128305854678e-05,4.460371273870885e-07,1.7566473732412666e-06,1.4657778189972267e-05,9.518093256004745e-06,2.894987149429915e-05
