fips_cc,white,black,api,native,multiple,hispanic
16037,0.9390886191893748,0.0018319212273872224,0.003205862147927639,0.006411724295855278,0.00984657659720632,0.039615296542248685
16039,0.7417985193787197,0.028197125852808827,0.032733343010596605,0.013427202787051822,0.034257511975613296,0.14958629699520976
16041,0.9142612619621878,0.002178479732358204,0.0017894654944370964,0.005446199330895511,0.01182603283280168,0.0644985606473197
16043,0.8425538277511961,0.006429425837320574,0.00388755980861244,0.008298444976076555,0.012111244019138757,0.1267194976076555
16045,0.8855493393643614,0.0012498512081895012,0.006546839661945006,0.007022973455541007,0.01993810260683252,0.07969289370313058
16047,0.6817922555295013,0.003485645478167184,0.008175423030610305,0.015083338614614361,0.015273464731605298,0.2761898726155016
16049,0.9203415675510827,0.0025617566331198535,0.004635559621835926,0.030497102775236352,0.01646843549862763,0.02549557792009759
16051,0.8662727238511047,0.002408822311716662,0.005645677293085927,0.011968835861342165,0.014151831081335392,0.09955210960141518
16053,0.6527131108306862,0.004873591227535791,0.005091162264479352,0.022757930464296593,0.010922066054566816,0.30364213915843524
16055,0.9155645617477105,0.0031935384549288616,0.008170016540524284,0.013389948230307109,0.02158144597120087,0.03810048905532841
16057,0.9025602651130472,0.008151157197070928,0.022395638462771927,0.00742957934683842,0.023651718424287777,0.03581164145598375
16059,0.945648090169067,0.002379461490294302,0.0041327489041953665,0.00788979336255479,0.016155291170945524,0.023794614902943018
16061,0.8849856882643767,0.0033827738745771533,0.005724694249284413,0.04996096799375488,0.02263856362217018,0.033307311995836586
16063,0.6883092155369384,0.003427265803503427,0.005331302361005331,0.010472201066260471,0.012757044935262756,0.27970297029702973
16065,0.9060779330792037,0.005214951291825498,0.01268000847098687,0.00349428208386277,0.013315332486234647,0.059217492587886486
16067,0.6372077196052696,0.0053473336250060765,0.005930679111370376,0.0202712556511594,0.014000291672743182,0.3172427203344514
16069,0.8813529352328988,0.002879660503182783,0.008133777912498736,0.056810144488228756,0.02250682024856017,0.028316661614630697
16071,0.9481515926528714,0.0020925366193908393,0.0053475935828877,0.0053475935828877,0.009997674959311788,0.029063008602650545
16073,0.665618092161197,0.005951368814827411,0.008161877231763306,0.05075667403502806,0.015813637136541405,0.2536983506206427
16075,0.8015360446849363,0.002705533251876418,0.010080293244894397,0.013353115727002967,0.023782510036655612,0.14854250305463432
16077,0.6491315756591278,0.008871673122579032,0.0056228914157191055,0.02574034736973635,0.016243908534299637,0.294389603898538
